,name,place_id,rating,user_ratings_total,lat_g,lng_g
572,Sidetrack,ChIJkZf9mK_TD4gRZ3XmA5zo8Fw,4.3,463,41.9431994,-87.64921989999999
43,Xavier's Club,ChIJsz6vLQkuDogRbwhsIbwDkzM,4.3,53,41.8122189,-87.68474669999999
36,Hangovers Bar & Liquor Store,ChIJmYN3i6_ND4gR-5rKM5TgbnY,4.3,108,41.9454707,-87.72756749999999
733,Roadhouse 66 Gas N' Grill,ChIJ9cVjga7TD4gRtfwZv3TXUwY,4.3,434,41.9453806,-87.65546669999999
740,Elephant & Castle,ChIJS9DQYLwsDogRC4rmbqrg-Lg,4.3,2042,41.8793112,-87.6314087
743,Elephant & Castle,ChIJ7zwFga8sDogR48o0MWz4Jes,4.3,2200,41.8854526,-87.626024
188,Streeter's Tavern,ChIJjx1f4VLTD4gRIa1IGXHSbhI,4.3,722,41.8968657,-87.62625589999999
768,Matilda,ChIJIb2GzqvTD4gRkpZfPDH-ByI,4.3,407,41.9382108,-87.65391439999999
146,Halligan Bar,ChIJ3QxcUhDTD4gR_HTruxpDDso,4.3,387,41.9233575,-87.6461198
770,Ted's Place,ChIJDXtMxl0zDogRoU3wTb92M3U,4.3,330,41.879885,-87.77035599999999
31,Figo Wine Bar,ChIJaUA2b6bTD4gR16K-yMe0LTo,4.3,212,41.9402282,-87.6539734
618,WhirlyBall Chicago,ChIJ36q9du3SD4gRc_oBbj74Fm4,4.3,1867,41.9212227,-87.6739273
775,Lawlor's Bar on Archer,ChIJVUlUUsI2DogRLsoMNHYQtxY,4.3,89,41.7924022,-87.7937325
